simd_mode,status,run_label,measured_per_inference_us,measured_total_ms
scalar,ok,run-1,2068,207
scalar,ok,run-2,2071,207
scalar,ok,run-3,2063,206
scalar,ok,run-4,2071,207
scalar,ok,run-5,2075,208
sse42,ok,run-1,688,69
sse42,ok,run-2,694,69
sse42,ok,run-3,693,69
sse42,ok,run-4,693,69
sse42,ok,run-5,690,69
avx,ok,run-1,327,33
avx,ok,run-2,329,33
avx,ok,run-3,326,33
avx,ok,run-4,328,33
avx,ok,run-5,325,33
avx2,ok,run-1,288,29
avx2,ok,run-2,285,28
avx2,ok,run-3,286,29
avx2,ok,run-4,286,29
avx2,ok,run-5,286,29
