simd_mode,status,run_label,measured_per_inference_us,measured_total_ms
scalar,ok,run-1,2977,298
scalar,ok,run-2,2980,298
scalar,ok,run-3,2999,300
scalar,ok,run-4,3001,300
scalar,ok,run-5,2989,299
sse42,ok,run-1,888,89
sse42,ok,run-2,890,89
sse42,ok,run-3,889,89
sse42,ok,run-4,888,89
sse42,ok,run-5,888,89
avx,ok,run-1,424,42
avx,ok,run-2,424,42
avx,ok,run-3,424,42
avx,ok,run-4,425,42
avx,ok,run-5,425,43
avx2,ok,run-1,319,32
avx2,ok,run-2,319,32
avx2,ok,run-3,321,32
avx2,ok,run-4,320,32
avx2,ok,run-5,319,32
