simd_mode,status,participant_count,measured_per_inference_us,measured_total_ms,compute_cpus,uses_hyper_threads
scalar,ok,1,2088,209,0,0
scalar,ok,2,1052,105,"0,1",0
scalar,ok,4,544,54,"0,1,2,3",0
scalar,ok,8,311,31,"0,1,2,3,4,5,6,7",0
scalar,ok,16,185,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0
sse42,ok,1,693,69,0,0
sse42,ok,2,315,31,"0,1",0
sse42,ok,4,171,17,"0,1,2,3",0
sse42,ok,8,101,10,"0,1,2,3,4,5,6,7",0
sse42,ok,16,72,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0
avx,ok,1,329,33,0,0
avx,ok,2,132,13,"0,1",0
avx,ok,4,77,8,"0,1,2,3",0
avx,ok,8,55,5,"0,1,2,3,4,5,6,7",0
avx,ok,16,51,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0
avx2,ok,1,290,29,0,0
avx2,ok,2,125,13,"0,1",0
avx2,ok,4,73,7,"0,1,2,3",0
avx2,ok,8,53,5,"0,1,2,3,4,5,6,7",0
avx2,ok,16,44,4,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0
