simd_mode,status,participant_count,measured_per_inference_us,measured_total_ms,compute_cpus,uses_hyper_threads
scalar,ok,1,3012,301,0,0
scalar,ok,2,1514,151,"0,2",0
scalar,ok,4,773,77,"0,2,4,6",0
scalar,ok,8,385,38,"0,2,4,6,8,10,12,14",0
scalar,ok,16,417,42,"0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15",1
sse42,ok,1,888,89,0,0
sse42,ok,2,432,43,"0,2",0
sse42,ok,4,233,23,"0,2,4,6",0
sse42,ok,8,127,13,"0,2,4,6,8,10,12,14",0
sse42,ok,16,125,12,"0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15",1
avx,ok,1,425,42,0,0
avx,ok,2,203,20,"0,2",0
avx,ok,4,114,11,"0,2,4,6",0
avx,ok,8,74,7,"0,2,4,6,8,10,12,14",0
avx,ok,16,72,7,"0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15",1
avx2,ok,1,321,32,0,0
avx2,ok,2,156,16,"0,2",0
avx2,ok,4,91,9,"0,2,4,6",0
avx2,ok,8,63,6,"0,2,4,6,8,10,12,14",0
avx2,ok,16,59,6,"0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15",1
